EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Links	Latitude	Longitude	TM Place	language	photo
EDCS-26600110	"CIL 03, 04622 (p 1794) = ILSlov-01, 00194"	Pannonia superior	Krsko	201	201	Augusti/Augustae; litterae erasae; miliaria; ordo senatorius; tituli operum; tria nomina; viri	"Imp(erator) Caes(ar) L(ucius) Se/ptimius Severus / Pius Pertinax [Aug(ustus)] / Arab(icus) Adiab(enicus) Parth(icus) / max(imus) pont(ifex) max(imus) tri[b(unicia)] / potest(ate) VIIII imp(erator) X[I] / co(n)s(ul) [II] proco(n)s(ul) p(ater) [p(atriae)] / et Imp(erator) Cae(sar) M(arcus) Aure[li]/us Antoninus P[ius] / Aug(ustus) Felix trib(unicia) p/otes(tate) III[I] proc[o(n)s(ul)] / [[et P(ublius) Septimius Geta]] / Caes(ar) vias et p[ont]/es vetustate [co]/nruptas(!) restitue/runt / curante Fabio Cilo[ne] / leg(ato) Aug(usti) pr(o) pr(aetore)
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0053213;HD037720 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD037720 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0053213	45.9591313	15.494174			
EDCS-26600105	"CIL 03, 04617 = CIL 03, 11323 = ILSlov-01, 00186"	Pannonia superior	Mackovci / Mackovski / Mackovec	201	201	Augusti/Augustae; litterae erasae; miliaria; ordo senatorius; tituli operum; tria nomina; viri	"c]o(n)s(ul) II pro[co(n)s(ul) p(ater) p(atriae)] / [et imp(erator) C]ae(sar) M(arcus) Aure[lius] / [Antonin]us Pius Au[g(ustus) Fel(ix)] / [trib(unicia) p]otes(tate) IIII pr[oco(n)s(ul)] / [[et P(ublius) Septimius Geta]] / [[Caesar]] vias et pon[tes] / [vetusta]te conrupt[as] / [re]stituerunt / [curante Fabio] Cilone leg(ato) Aug(usti) / [pr(o) pr(aetore)]
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0053211;HD068522 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD068522 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0053211	46.7842063	16.1631499			
EDCS-59500050	"AE 2010, 01251"	Pannonia superior	Nyergesujfalu / Neudorf an der Donau / Crumerum	201	201	Augusti/Augustae; litterae erasae; miliaria; ordo senatorius; tituli operum; tria nomina; viri	"] / [[[Geta Caes(ar)]] vi]as et [pon]t[es vetus]/[tate corr]upt(os) rest(ituerunt) [curante] / [Fab(io) Cilone] leg(ato) [Augg(ustorum) pr(o) pr(aetore)] / [a Brig(etione)] / [m(ilia) p(assuum) XX]
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD008540 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD008540	47.7607852	18.5545212			
EDCS-20601030	"CIL 06, 37767"	Roma	Roma	201	300	liberti/libertae; tituli sepulcrales	D(is) M(anibus) / A(ulus) Serg(ius) Heliodorus qui petit / a pontificib(us) c(larissimis) v(iris) uti sibi perm/itteretur in mon<u=I>mento iu/ris sui tectum vetustate dila/psum restituer(unt) quod est via Flam(inia) / in<t=I>(er) mil(es) II et III eunt(ibus) ab urbe pa/rte dextr(a) in adfin(es?) Heduleiam / C(ai) f(iliam) Aphrodisiam et Hermen(eium?) / Aug(usti) lib(ertum) tab(ularium) et Trebiam Albinam / fecit sibi et Ulpiae Heliadi uxori / et lib(ertis) lib(ertabus)q(ue) post(eris)q(u)e h(oc) m(onumentum) h(eredem) n(on) s(equetur) h(uic) m(onumento) d(olus) a(besto) m(alus)	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N072304;UMD.Balt.JHU.L.7;CO0118884 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0118884 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR072304&partId=1	41.8933203	12.4829321			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=pp
EDCS-64000182	"Epigraphica-2014-545 = AE 2014, 00546"	Sardinia	Bidda Matzraxia / Villamassargia	201	300	miliaria; ordo equester; tituli operum; tria nomina; viri	"viam] / q[u]ae [ducit a Kar]/[alibus(?) S]ul[ci]s / [vetus]tate [c]orrup/tam restituit / curante P(ublio) Avidio(?) / Maxim[i]no / procuratore / suo
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N154228 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR154228&partId=1	39.2758994	8.6404754			
EDCS-34700125	"EE-08-01, 00785"	Sardinia	Sbrangatu / Terranova Pausania	201	300	ordo equester	M(ilia) p(assuum) C / Imp(erator) Ca[es(ar) 3] / [6] / [3]TII[3] / Vespa[3] / viam qu(a)e [3] / vetusta[te 3] / curante [3] / proc(uratore) v(iro) e(gregio) [	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N153686;CO0053683 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0053683 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR153686&partId=1					
EDCS-03300640	"ZPE-109-247 = CAG-06, p 314 = ILAM 00406 = AE 1995, 01017"	Alpes Maritimae	Coursegoules / Vintium	212	213	Augusti/Augustae; miliaria; milites; ordo equester; tituli operum; viri	"[Imp(erator) Caes(ar) M(arcus) Aurel(ius)] / [Antoninus P(ius) F(elix)] / [Aug(ustus) Parthic(us) m(aximus) Bri]/[tannic(us) m(aximus) trib(unicia) po]/[test(ate) XVI co(n)s(ul) IIII] / [p(ater) p(atriae) procon(sul) viam] / [vetustat(e) collaps(am)] / [rest(ituit) curam agente] / [I]ulio [Hono]/[rato] p(rocuratore) Aug(usti) ex pr[i]/m<o=I> pil(o) / [VI(?)]
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0024548;HD050849 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD050849 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0024548	43.7939474	7.044057			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$AE_1995_01017.jpg
EDCS-09500180	"CIL 17-02, 00017 = CIL 12, p 857 = CAG-04, p 450 = ILAM 00414 = ZPE-109-253 = AE 1978, 00472 = AE 1995, 01020"	Alpes Maritimae	Senez / Sanitium	212	213	Augusti/Augustae; miliaria; milites; ordo equester; tituli operum; tria nomina; viri	"Imp(erator) Caes(ar) / M(arcus) Aureli/u[s] Anto/[ni]nus Pius / Felix Aug(ustus) / Pa[rt]h[i]c(us) m(aximus) / Br[i]tannic(us) m(aximus) / tr(ibunicia) p[o]t(estate) XV[I] c[o(n)]s(ul) II[II] / {cos IIII} p(ater) p(atriae) / viam vetus/tate colla<p=B>s(am) / restituit / cura(m) agente / Iul(io) Hono/rato proc(uratore) / Aug(usti) ex pri/m<o=I> pilo / [V(?)]
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD004808 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD004808	43.9134483	6.4065153			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$SM_ILAM_00414.jpg
EDCS-09500171	"CIL 17-02, 00008 = CIL 12, 05432 (p 857) = IR-03, 00008 = CAG-06, p 125 = ILAM 00409"	Gallia Narbonensis	Andon / Antipolis	212	213	Augusti/Augustae; miliaria; milites; ordo equester; tituli operum; tria nomina; viri	"[Imp(erator) Caes(ar) M(arcus)] Aurell(ius) / [Antoninus] Aug{g}(ustus) / [P(ius) F(elix) Parthic(us) m(aximus) Brit]/[annic(us) m(aximus) trib(unicia)] po/[test(ate) XVI c]o(n)s(ul) IIII / [p(ater) p(atriae) procon(sul) via]m / [vetu]s[t]ate [c]olla/<p=B>s(am) rest(ituit) curam age/nte Iulio Hono/rato p(rocuratore) Aug(usti) ex pr/im<o=I> pil(o) / m(ilia) p(assuum) XVIII
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0053390;HD066744 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD066744 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0053390	43.7734923	6.7858589			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$CIL_12_05432.jpg
EDCS-09500169	"CIL 17-02, 00006 = CIL 12, 05431 (p 857) = IR-03, 00006 = CAG-06, p 363 = ILAM 00408"	Gallia Narbonensis	Greolieres	212	213	Augusti/Augustae; miliaria; milites; ordo equester; tituli operum; tria nomina; viri	"[Imp(erator) C]aes(ar) M(arcus) Aurel(ius) / [Antoni]n[us] Aug(ustus) [P(ius)] / [F(elix) Parthic(us) m(aximus)] B[rit]/[anni]c(us) m(aximus) t[rib(unicia) po]/[test(ate) XVI] co(n)s(ul) IIII / [p(ater) p(atriae) proco]n(sul) viam / [vetust]at(e) colla/[ps(am) rest(ituit) cur]am agen/[te Iulio H]onora/[to p(rocuratore) Aug(usti) ex pr]/[imo pil(o)] / [m(ilia) p(assuum) X]
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0053389;HD066743 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD066743 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0053389	43.7951809	6.9435947			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$SM_ILAM_00408.jpg
