EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Links	Latitude	Longitude	TM Place	language	photo
EDCS-69200483	AE 2013, 01714	Palaestina	Ashqelon / Aschkelon / Tel Ashkelon / Ascalon		218	Augusti/Augustae; litterae erasae; miliaria; tituli operum; viri	"to 222;   b:  284 to 305         



Imp(eratori) C[a]es(ari) / divi Ant[o]nini Ma/ioris Pi[i f]i[l(io)] (!) Severi Pii / nep(oti) M(arco) [Au]relio / [[Anto[nino Pio]]] Felici / Aug(usto) tr(ibunicia) p(otestate) / via(s) et [pon]t(es) restituit / m(ilia) p(assuum) III // Imperato/ribus Caesari/bus fratribus / Gaio Valerio / Diocletiano / et M(arco) Aur(elio) / Valerio / Maximiano / P(iis) F(elicibus) Invi/ctis Aug(ustis) // 
material: lapis"		31.6644874	34.5730157		GR	
EDCS-15200167	AE 1948, 00152	Palaestina	Bar el-Kharuq	213	213	Augusti/Augustae; miliaria; tituli operum; viri	"Imp(erator) Caes(ar) M(arcus) Aur(elius) / Antoninus Pius / Aug(ustus) trib(unicia) pot(estate) X[VI] p(ontifex) m(aximus) / imp(erator) II co(n)s(ul) IIII / [p(ater) p(atriae) proco(n)s(ul)] / [vias et pon]tes restit(uit) / a Dioc(a)es(area) / m(ilia) p(assuum) XIII
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD021762 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD021762					
EDCS-40800006	RRJ-01, 00014	Palaestina	Beit HaShita / Bet Hashitta / Qibbus Beth Hashitta / Scythopolis			Augusti/Augustae; miliaria; tituli operum; viri	"Imp(erator) Caesar M(arcus) Aur(elius) / Antoninus Pi/us Felix Aug(ustus) / Par[th]ic[us max(imus)] / Br[it]annicus / max(imus) pontifex / max(imus) trib(unicia) po/test(ate) XVII imp(erator) / II c[o(n)s(ul) IIII p(ater) p(atriae)] / proc[o(n)s(ul) vias] / et pont[es] / rest[it]uit
material: lapis"		32.5511686	35.4382682			
EDCS-16600431	AE 1905, 00194	Palaestina	Beit She|an / Bet Sche|an / Beisan / Baithsan / Scythopolis			Augusti/Augustae; miliaria; tituli operum; viri	"] / [pontif(ex) max(imus)] / [tr(ibunicia) pot(estate)] XVI imp(erator) II / [co(n)s(ul)] III p(ater) p(atriae) proc(onsul) / [vias e]t ponte[s] / [resti]tuit // 
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD030567 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD030567	32.4967519	35.4973022		GR	
EDCS-73600430	Thomsen-1917, 00244	Palaestina	Beit She|an / Bet Sche|an / Beisan / Baithsan / Scythopolis	213	213	Augusti/Augustae; miliaria; tituli operum; viri	"[Imp(erator) Caes(ar) M(arcus) Aur(elius) Antoninus P(ius) F(elix) Aug(ustus) Parthicus maximus Britannicus maximus pontif(ex) max(imus) trib(unicia) pot(estate)] XVI imp(erator) II [co(n)s(ul)] III p(ater) p(atriae) proco(n)s(ul) [vias e]t ponte[s resti]tuit // 
material: lapis"		32.4967519	35.4973022		GR	
EDCS-40800017	RRJ-01, 00015	Palaestina	Ein Harod-Ihud / En Harod / Scythopolis			Augusti/Augustae; miliaria; tituli operum; viri	"[Imp(erator) Caesar M(arcus) Aurelius Antoninus Pius Felix Aug(ustus) Parthicus max(imus) Britannicus max(imus) pontifex max(imus) trib(unicia) pot(estate) XVII imp(erator) II] / co(n)s(ul) IIII / proco(n)s(ul) vias / et pontes / restituit // 
material: lapis"		32.5623291	35.3931287		GR	
EDCS-40800018	RRJ-01, 00016	Palaestina	Kfar Yehezkel / Yehezqel			Augusti/Augustae; miliaria; tituli operum; viri	"[Imp(erator) Caesar M(arcus) Aur(elius) Antoninus Pius] / Felix Aug(ustus) / Parthic(us) max(imus) / Britannicus / m[ax(imus)] pontif(ex) / [max(imus)] tribun(icia) / po[t]est(ate) XVI / [imp(erator)] I[I] co(n)s(ul) IIII / [p(ater)] p(atriae) proco(n)s(ul) vi/[as] et p[ontes re]st[ituit] // 
material: lapis"		32.5682864	35.3624076		GR	
EDCS-10701936	AE 1966, 00497a	Palaestina	Sde Eliyahu / Sede Eliahu / Scythopolis	212	212	Augusti/Augustae; miliaria; tituli operum; viri	"Imp(erator) Caes(ar) M(arcus) / Au(relius) Antoninus / P(ius) Fel(ix) Aug(ustus) Par(thicus) / max(imus) Brit(annicus) m(aximus) trib(unicia) pot(estate) XVI / imp(erator) II co(n)s(ul) IIII / p(ater) p(atriae) proc(onsul) vias / et p(ontes) restituit / V // 
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD016487 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD016487	32.4405328	35.5149917		GR	
EDCS-75500085	EDCS 01017 {Manfred Clauss}	Palaestina	Tirat Zvi			Augusti/Augustae; miliaria; tituli operum; viri	"Imp(erator) Caes(ar) M(arcus) Aur(elius) / Antoninus P(ius) Fel(ix) / Aug(ustus) / Par(thicus) maxim(us) / Brit(annicus) m(aximus) p(ontifex) max(imus) / trib(unicia) pot(estate) XVI / imp(erator) II co(n)s(ul) IIII p(ater) p(atriae) / proc(onsul) vias et p(ontes) / restituit / XVI // 
material: lapis"		32.0770872	34.7984801		GR	http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$EDCS_01017_1.jpg;$EDCS_01017_1_1.jpg
EDCS-29900566	CIL 03, 10647	Pannonia inferior	Batina / Ad Militare	217	218	Augusti/Augustae; litterae erasae; miliaria; ordo senatorius; tria nomina; viri	"Imp(erator) Caes(ar) [[[Marcus]]] / [[[Op]e[lli]us Ma[crinus]]] / I(ul)ius Au<g=C>(ustus) c<o=C>(n)[[[s(ul) pro(c)]o(n)s(ul) tr[ib(unicia) pot(estate)]]] / et Opelliu[[[s] Diad[u]meni]]/[[an[us] nobilissi[mus]]] Caes(ar) vi/as et pontes vetustate co/rrup[[[tas restitu]]]er(u)nt / [[[c]ura [agente Aelio T]r[i]cciano]] / [[[l]e<g=C>(ato) [Aug(usti) pr(o) pr(aetore) ab Aq(uinco) m(ilia) p(assuum)]]] / CXXXVII
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD074985 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD074985	45.8504469	18.8504633			
EDCS-29601479	CIL 03, 10644	Pannonia inferior	Bolcske	217	217	Augusti/Augustae; litterae erasae; miliaria; ordo senatorius; tituli operum; tria nomina; viri	"Imp(eratori) Caesari / Marco [[Opellio]] Severo / [[M[a]crino]] Pio Augusto co(n)s(uli) / proco(n)s(uli) tribunicia potest(ate) / [[et O[p]e<l=I>lio [Dia]dumeniano]] / [[nobilis[simo] C[a]esa]]ri vias / et pontes vetustate con/ruptas restitue[r]unt cura(m) / agente [[Aelio]] / [[Tricciano]] / leg(ato) Augg(ustorum) pr(o) pr(aetore) ab Aq(uinco) / m(ilia) p(assuum) LXVI
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD073557;CO0053248 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD073557 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0053248	46.7402601	18.9695194			
EDCS-32300144	CIL 03, 14354,03	Pannonia inferior	Budapest / Aquincum			litterae erasae; miliaria	"Imp(erator) Caes(ar) [[[M(arcus) Opellius]]] / Severus [[[Macrinus]]] Pius Augus/tus co(n)s(ul) proco(n)s(ul) tribunicia / potestate et [[[Ope]lli[us Diad]]]/[[[um]enianus nobilissimus]] / Caesar vias et pontes ve/tustate corruptas res/tituerunt / cura agente / [[[Aelio Tric]c[iano leg(ato) Aug(usti)]]] / pr(o) pr(aetore) ab / Aq(uinco) m(ilia) p(assuum) / II
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=lu_10827	47.4984159	19.0405083			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=pp
EDCS-29601472	CIL 03, 10637	Pannonia inferior	Dunaujvaros / Dunapentele / Intercisa	217	218	Augusti/Augustae; litterae erasae; miliaria; ordo senatorius; tituli operum; tria nomina; viri	"Imp(erator) Caesar / M(arcus) [[[Opellius]]] Severus / [[[Macrinus]]] Pius Aug(ustus) / co(n)s(ul) proco(n)s(ul) trib(unicia) pot(estate) / [[[et Opellius Diadumenianus]]] / nobilissimus Caesar / vias et pontes vetustate / corrupta[s restitueru]nt / cura(m) a<g=C><e=I>[[[nte Aelio]]] / [[[Tricciano]] [leg(ato) Aug(usti) pr(o) pr(aetore)] / [ab Aq(uinco) m(ilia) p(assuum) 3]
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD073942 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD073942	46.9670241	18.9397061			
EDCS-72200117	Erdelyi-1954, 00322	Pannonia inferior	Dunaujvaros / Dunapentele / Intercisa		193	Augusti/Augustae; miliaria; tituli operum; viri	"to 211;   b:  284 to 305         



Imp(eratori) Caes(ari) L(ucio) S[eptimio Severo Pio] / Pert(inaci) Aug(usto) Arab(ico) [Adiab(enico) Parth(ico) max(imo) Brit(annico) max(imo)] / divi Mar[c]i [Antonini Pii Germ(anici) Sarm(atici) fil(io)] / divi Anton[ini Pii nep(oti) divi Hadriani] / pronep(oti) [divi Traiani Parth(ici) abnep(oti)] / divi Nerv[ae adnep(oti) 3 In]/vic[to Aug(usto) pont(ifici) max(imo) trib(unicia) pot(estate) p(atri) p(atriae) co(n)s(uli) proco(n)s(uli?)] / vias et [pontes restituit(?)] / L(ucius) Sept(imius) Sev[erus Pius Pert(inax) Aug(ustus) // Imp(eratori) [Caes(ari) C(aio) Aur(elio) Valerio Diocletiano Aug(usto)] / et Imp(eratori) Caes(ari) M(arco) [Aur(elio) Valerio] / Maximian[o Aug(usto) // ] pont(ifici) [ // ] P(ius) F(elix) In[v(ictus) // ] AIV M(arco?) Aur(elio) [3] C(aio?) Val(erio) C[ // ] tr(i)b(unicia) p(otestate) III [ // ] pont(ifici) max(imo) trib(unicia) potest(ate) p(atri) p(atriae) co(n)s(uli) [ // ] m(ilia) p(assuum) [3]
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD073953 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD073953	46.9670241	18.9397061			
EDCS-28900088	CIL 03, 04636 = CIL 03, 10658	Pannonia inferior	Pilisszanto / Aquincum	217	218	Augusti/Augustae; miliaria; tituli operum; viri	"[Imp(erator) Caes(ar) Ma]rcus / [Opellius Sever]us / [Macrinus Pius Aug(ustus)] co(n)s(ul) / [proco(n)s(ul) trib(unicia) pot(estate)] et / [Opellius Diadu]menianu[s] / [nobilissimus Ca]e[s]ar / [vias et pontes ve]tus/[tate corruptas restituerunt] / [a Br]<i=E>get[ione]
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD074688;CO0053217 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD074688 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0053217	47.6697354	18.886467			
EDCS-29601468	CIL 03, 10629	Pannonia inferior	Promontor Borudvar / Aquincum	217	218	Augusti/Augustae; litterae erasae; miliaria; ordo senatorius; tituli operum; tria nomina; viri	"[[Imp(erator) Caes(ar) Ma[r]c[us]]] / O[[pellius Severus]] / [[Macrinus Pius]] / [[Aug(ustus) co(n)s(ul) p[r]oco(n)s(ul)]] / [[trib[u]nici[ae] potest(atis)]] / [[[et] Opell[i]us Diadumen[ia]nu[s]]] / [[n[o]bilissimus C[ae]sar v[i]as]] / [[et p]]ontes vetustate conrup/t[as r]e[s]tituerunt cura(m) agente / [[[Aeli]o Tricciano]] le[g(ato)] Aug(usti) pr(o) pr(aetore) / ab Aq(uinco) m(ilia) p(assuum)
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=CO0053246 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0053246	47.421000	19.041300			
EDCS-13900032	AE 1953, 00011	Pannonia inferior	Racalmas	217	217	Augusti/Augustae; litterae erasae; miliaria; ordo senatorius; tituli operum; tria nomina; viri	"Imp(erator) Caes(ar) / M(arcus) [[Opell(ius)]] Severus / [[Macrinus]] Pius Aug(ustus) co(n)s(ul) proco(n)s(ule) trib(unicia) pot(estate) / [[Opell(ius) Diadumenianus]] / nobilissimus Caes(ar) vias / et pontes vetustate corruptas / restitue[runt] cura agente / [[Ael(io) Tricciano]] leg(ato) / Augg(ustorum) pr(o) pr(aetore) / ab Aq(uinco) / m(ilia) p(assuum) XLV
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD018323;lu_12853 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD018323	47.0259018	18.9393279			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=pp
EDCS-08900542	AE 1980, 00716	Pannonia inferior	Racalmas	217	217	Augusti/Augustae; litterae erasae; miliaria; ordo senatorius; tituli operum; tria nomina; viri	"Imp(erator) Caes(ar) / M(arcus) [[Opell(ius)]] Severus / [[Macrinus]] Pius Aug(ustus) / co(n)s(ul) trib(unicia) pot(estate) / [[Opell(ius) Diadum[enianus]]] / nobilissimus Caes(ar) / vias et pontes vetustate / corruptas restituerunt / cura agente [[[Ael(io) Tricciano]]] leg(ato) Aug[[g(ustorum)]] / pr(o) pr(aetore) ab Aq(uinco) / m(ilia) p(assuum) XLIII
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD006036;lu_12854 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD006036	47.0259018	18.9393279			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=pp
EDCS-28701238	CIL 03, 03726 = CIL 03, 10635 = Erdelyi-1954, 00311	Pannonia inferior	Szalkszentmarton	217	218	Augusti/Augustae; litterae erasae; miliaria; ordo senatorius; tituli operum; tria nomina; viri	"Imp(erator) Caes(ar) [[M(arcus) [Opellius]]] / Seve<r=P>us M[acrinus] / Pius Aug(ustus) co(n)[s(ul)] proco(n)s(ul) / trib(unicia) pot[est(ate) [[et Opellius]]] / [[[Diadumenianus]]] nobilissimus / Caes(ar) vias et pontes vetustate / corruptas restituer[u]nt / cura agente [[[Aelio]]] / [[[Tric]c[iano]]] / leg(ato) Aug(usti) pro <p=R>r(aetore) / ab Aq(uinco) / m(ilia) p(assuum) XLVI
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=HD073941;lu_13369 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD073941	46.9755241	19.0132851			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$CIL_03_03726.jpg;pp
