EDCS-ID	publication	province	place	dating from	dating to	status	inscription	Links	Latitude	Longitude	TM Place	language	photo
													
													
EDCS-11500422	CIL 10, 01488 = D 05888	Latium et Campania / Regio I	Napoli / Neapolis	351	400	ordo senatorius; tituli operum; viri	"viam a pro]montorio / villa[e] Pausilip(i!) / [diu n]eglectam / [3]ratus v(ir) c(larissimus) Camp(aniae) / [cons(ul) usui] publico reddidit
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=cil10_p175;CO0041022;de_21dessuoft%23page/447/mode/2up;N170828 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0041022 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR170828&partId=1	40.8359336	14.2487826			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=pp
EDCS-12700091	Philippi 00414 = AE 1936, 00051 = AE 1993, 01401	Macedonia	Kalampaki / Kalabaki / Kalambakion / Philippi	112	112	Augusti/Augustae; miliaria; tituli operum; viri	"Imp(erator) Caes(ar) divi / Nervae f(ilius) Nervae / Traianus Aug(ustus) Germ(anicus) / Dac(icus) p(ontifex) m(aximus) trib(unicia) p(otestate) XVI imp(erator) VI / co(n)s(ul) VI [p(ater) p(atriae) vi]am a Dyrrachi(o) / usque Acontisma per / provinciam Macedoniam / longa intermissione neglectam / restitue[nd]am curavit / a Dyr[r(achio) m(ilia)] p(assuum) / [CCCLXI
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=E414;HD024282 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD024282	41.052942	24.1902658			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$AE_1993_01401.jpg
EDCS-16000027	Philippi 00715 = IG-10-02-01, 01012 = AE 1936, 00052	Macedonia	Thessaloniki / Thessalonica	112	112	Augusti/Augustae; miliaria; tituli operum; viri	"Imp(erator) / Caes(ar) divi Ner/vae f(ilius) Nerva Tra/ianus Aug(ustus) Germ(anicus) Dac(icus) / p(ontifex) m(aximus) trib(unicia) p(otestate) XI(!) imp(erator) VI co(n)s(ul) / VI(!) p(ater) p(atriae) viam a Dyrrac(hio) / usq(ue) Neapoli(m) per pro/vinciam Macedo/niam longa inter/missione neglect(am) / restituendam cu/ravit a Thessalonica / V
material: lapis"	http://db.edcs.eu/epigr/partner.php?s_language=en&param=E715;HD024285 | https://edh-www.adw.uni-heidelberg.de/edh/inschrift/HD024285	40.6403167	22.9352716			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$KO_AE_1936_00052.jpg;$KO_AE_1936_00052_1.jpg
EDCS-05401244	CIL 05, 07992 = InscrAqu-02, 02894a = D 05860 = Chiron-2002-381 = AE 2007, +00264	Venetia et Histria / Regio X	Aquileia	306	312		]] Pius Felix / Invictus Augustus / viam Anniam longa incuri[a] / neglectam influentibus / palustrib(us) aquis eververatam / et commeantib(us) inviam / inter plurima indulgentiar(um) / suar(um) in Aquileiens(es) providentissim(us) / princeps restituit	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N163164;cil05_p936;CO0076195;de_21dessuoft%23page/442/mode/2up | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0076195 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR163164&partId=1	45.7696144	13.3697982			
EDCS-05401245	CIL 05, 07992a (p 1092) = InscrAqu-02, 02894b = Chiron-2002-382 = AE 2007, +00264	Venetia et Histria / Regio X	Aquileia	306	312		Invi]ctus Au[gustus viam] / [Annia]m long(a) incuri[a neglec]/[tam in]fluentib(us) palustri[b(us) aquis] / [everve]ratam et [comme]/[antib]us inviam inter [	http://db.edcs.eu/epigr/partner.php?s_language=en&param=N163163;CO0080730 | http://cil.bbaw.de/dateien/cil_view.php?KO=KO0080730 | http://www.edr-edr.it/edr_programmi/res_complex_comune.php?do=book&id_nr=EDR163163&partId=1	45.7696144	13.3697982			http://db.edcs.eu/epigr/bilder.php?bilder.php?bild=$InscrAqu_02_02894b.jpg
